GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
8600000US13116,13116,ZCTA5 13116,2416,159,30,30,690,172,898,177,404,144,394,130,2209,187,30,30,604,169,805,154,376,137,394,130,127,93,0,11,62,57,37,44,28,40,0,11,56,59,0,11,0,11,56,59,0,11,0,11,24,36,0,11,24,36,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13117,13117,ZCTA5 13117,181,61,35,22,75,41,64,32,7,7,0,11,163,61,34,22,63,41,59,32,7,7,0,11,16,16,1,3,12,12,3,5,0,11,0,11,2,5,0,11,0,11,2,5,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13118,13118,ZCTA5 13118,4430,214,656,121,1765,170,1333,150,371,70,305,64,3858,267,529,127,1536,195,1164,133,337,68,292,62,237,95,53,52,100,58,79,53,5,7,0,16,318,93,74,41,129,85,84,56,18,23,13,16,12,14,0,16,0,16,1,4,11,13,0,16,5,6,0,16,0,16,5,6,0,16,0,16
8600000US13120,13120,ZCTA5 13120,1589,288,287,109,332,139,669,143,192,70,109,53,1514,296,265,106,311,137,653,144,184,68,101,51,71,43,22,19,21,24,12,10,8,14,8,12,4,6,0,11,0,11,4,6,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13122,13122,ZCTA5 13122,818,186,60,44,244,121,363,103,99,56,52,36,806,186,60,44,232,120,363,103,99,56,52,36,0,11,0,11,0,11,0,11,0,11,0,11,12,8,0,11,12,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13123,13123,ZCTA5 13123,247,198,33,53,119,158,95,111,0,11,0,11,247,198,33,53,119,158,95,111,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13124,13124,ZCTA5 13124,70,34,6,8,41,24,18,15,5,5,0,11,70,34,6,8,41,24,18,15,5,5,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13126,13126,ZCTA5 13126,22199,524,2707,332,7264,434,6299,429,3277,290,2652,286,19865,549,2338,335,6528,375,5676,416,2987,291,2336,266,1764,327,277,90,671,210,426,136,199,98,191,112,317,109,83,45,52,60,122,73,33,26,27,25,195,109,9,14,13,14,50,49,58,50,65,53,58,59,0,24,0,24,25,28,0,24,33,50
8600000US13131,13131,ZCTA5 13131,2729,274,374,112,1173,191,801,118,235,76,146,57,2401,241,325,99,987,151,722,115,226,76,141,55,140,78,49,47,53,55,33,29,5,9,0,11,153,175,0,11,104,121,40,54,4,6,5,9,35,33,0,11,29,30,6,8,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US13132,13132,ZCTA5 13132,2619,314,206,114,1058,259,780,229,332,139,243,110,2392,291,148,101,967,246,720,201,314,132,243,110,73,61,38,44,35,41,0,11,0,11,0,11,118,90,20,31,37,41,43,57,18,30,0,11,36,60,0,11,19,32,17,29,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
