Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Estimate; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Less than high school graduate,Estimate; Total: - Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Total: - Same house 1 year ago: - Some college or associate's degree,Estimate; Total: - Same house 1 year ago: - Bachelor's degree,Estimate; Total: - Same house 1 year ago: - Graduate or professional degree,Estimate; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Less than high school graduate,Estimate; Total: - Moved within same county: - High school graduate (includes equivalency),Estimate; Total: - Moved within same county: - Some college or associate's degree,Estimate; Total: - Moved within same county: - Bachelor's degree,Estimate; Total: - Moved within same county: - Graduate or professional degree,Estimate; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Less than high school graduate,Estimate; Total: - Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different county within same state: - Some college or associate's degree,Estimate; Total: - Moved from different county within same state: - Bachelor's degree,Estimate; Total: - Moved from different county within same state: - Graduate or professional degree,Estimate; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Less than high school graduate,Estimate; Total: - Moved from different state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different state: - Some college or associate's degree,Estimate; Total: - Moved from different state: - Bachelor's degree,Estimate; Total: - Moved from different state: - Graduate or professional degree,Estimate; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Less than high school graduate,Estimate; Total: - Moved from abroad: - High school graduate (includes equivalency),Estimate; Total: - Moved from abroad: - Some college or associate's degree,Estimate; Total: - Moved from abroad: - Bachelor's degree,Estimate; Total: - Moved from abroad: - Graduate or professional degree
8600000US14611,14611, 14611,10187,2559,3451,3193,639,345,8873,2208,3088,2670,568,339,949,268,220,390,71,0,102,13,57,32,0,0,222,58,65,93,0,6,41,12,21,8,0,0
8600000US14612,14612, 14612,26160,2093,7040,9259,5221,2547,23208,1757,6155,8451,4728,2117,2291,275,714,606,383,313,248,51,27,50,43,77,297,0,92,141,47,17,116,10,52,11,20,23
8600000US14613,14613, 14613,7764,1633,2496,2608,638,389,6492,1263,2160,2080,600,389,957,286,251,395,25,0,153,36,25,79,13,0,131,41,51,39,0,0,31,7,9,15,0,0
8600000US14614,14614, 14614,870,310,242,268,35,15,128,61,20,39,8,0,596,228,172,166,15,15,92,21,41,30,0,0,54,0,9,33,12,0,0,0,0,0,0,0
8600000US14615,14615, 14615,11453,1748,3518,3902,1699,586,9743,1380,3105,3343,1351,564,1330,288,342,516,174,10,180,49,12,9,107,3,148,31,7,34,67,9,52,0,52,0,0,0
8600000US14616,14616, 14616,19887,1652,7157,6417,3006,1655,18415,1420,6678,5910,2871,1536,1243,200,442,412,122,67,105,0,37,68,0,0,81,0,0,16,13,52,43,32,0,11,0,0
8600000US14617,14617, 14617,16475,1070,3745,4302,4422,2936,15516,986,3596,4131,4035,2768,710,69,103,124,302,112,112,0,46,32,0,34,117,0,0,15,80,22,20,15,0,0,5,0
8600000US14618,14618, 14618,14847,338,1501,2514,4056,6438,12776,235,1233,2086,3634,5588,1420,63,217,302,297,541,297,0,22,18,85,172,240,0,15,96,40,89,114,40,14,12,0,48
8600000US14619,14619, 14619,8710,1311,2676,3096,1076,551,7244,1046,2227,2560,923,488,1236,245,385,490,112,4,19,0,4,1,0,14,122,0,10,45,22,45,89,20,50,0,19,0
8600000US14620,14620, 14620,17153,1432,3037,4056,4333,4295,13618,1135,2428,3246,3247,3562,2461,205,533,728,610,385,319,20,12,49,138,100,576,63,64,33,223,193,179,9,0,0,115,55
8600000US14621,14621, 14621,20691,6151,6889,5713,1395,543,16463,4959,5549,4400,1135,420,3144,933,1065,929,152,65,272,65,81,65,30,31,338,98,65,107,42,26,474,96,129,212,36,1
8600000US14622,14622, 14622,9359,704,3309,2849,1613,884,8452,630,3014,2654,1411,743,761,48,287,179,136,111,54,2,8,0,38,6,45,15,0,16,7,7,47,9,0,0,21,17
8600000US14623,14623, 14623,14069,1835,3199,3664,3217,2154,11632,1429,2933,3162,2495,1613,1557,313,205,357,440,242,280,0,30,70,112,68,133,0,0,37,6,90,467,93,31,38,164,141
8600000US14624,14624, 14624,25714,1692,7353,8264,5009,3396,23171,1525,6574,7270,4631,3171,1770,63,532,694,313,168,349,94,98,115,26,16,286,10,18,185,32,41,138,0,131,0,7,0
8600000US14625,14625, 14625,7716,458,1163,2158,2174,1763,6994,425,1055,1958,2000,1556,560,33,88,181,110,148,40,0,8,13,19,0,122,0,12,6,45,59,0,0,0,0,0,0
8600000US14626,14626, 14626,23271,1962,6738,7663,4237,2671,20915,1721,6149,6787,3891,2367,1929,175,494,756,303,201,290,55,59,78,17,81,75,11,6,27,10,21,62,0,30,15,16,1
8600000US14627,14627, 14627,37,0,0,13,24,0,25,0,0,8,17,0,0,0,0,0,0,0,5,0,0,5,0,0,7,0,0,0,7,0,0,0,0,0,0,0
8600000US14701,14701, 14701,27495,3328,9758,9080,3135,2194,24289,2860,8499,7963,2861,2106,2516,342,1040,926,165,43,248,70,43,53,64,18,322,7,157,120,21,17,120,49,19,18,24,10
8600000US14706,14706, 14706,4400,301,1385,1468,665,581,4018,257,1307,1285,617,552,326,37,62,170,32,25,25,0,11,10,4,0,30,7,4,3,12,4,1,0,1,0,0,0
8600000US14707,14707, 14707,170,10,77,59,8,16,133,10,77,38,8,0,4,0,0,4,0,0,0,0,0,0,0,0,33,0,0,17,0,16,0,0,0,0,0,0
8600000US14708,14708, 14708,96,6,19,63,2,6,94,6,19,61,2,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US14709,14709, 14709,1030,111,406,323,111,79,968,108,386,298,104,72,40,3,14,20,3,0,9,0,5,0,4,0,13,0,1,5,0,7,0,0,0,0,0,0
8600000US14710,14710, 14710,2388,200,942,737,206,303,2254,194,885,691,194,290,104,6,44,36,9,9,0,0,0,0,0,0,16,0,5,4,3,4,14,0,8,6,0,0
