GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Margin of Error; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Margin of Error; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Margin of Error; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Margin of Error; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Margin of Error; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Margin of Error; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Margin of Error; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher,Margin of Error; Renter-occupied housing units: - Bachelor's degree or higher
8600000US14517,14517,ZCTA5 14517,1247,104,925,104,125,69,401,83,226,64,173,59,322,69,23,21,163,59,120,57,16,13
8600000US14519,14519,ZCTA5 14519,5002,186,4064,211,53,38,1041,193,1688,229,1282,182,938,167,196,115,207,106,403,154,132,80
8600000US14521,14521,ZCTA5 14521,954,86,727,84,109,41,188,37,224,49,206,55,227,54,53,29,56,20,97,42,21,14
8600000US14522,14522,ZCTA5 14522,3892,224,2819,251,200,60,873,152,978,168,768,138,1073,169,169,103,299,92,522,143,83,54
8600000US14525,14525,ZCTA5 14525,994,80,853,73,75,39,345,59,296,59,137,47,141,51,3,4,58,38,44,35,36,28
8600000US14526,14526,ZCTA5 14526,8268,248,6990,214,249,135,740,163,1796,238,4205,289,1278,168,156,99,286,113,393,117,443,110
8600000US14527,14527,ZCTA5 14527,4976,302,3611,260,512,102,1078,189,1001,166,1020,162,1365,174,252,95,500,123,391,119,222,96
8600000US14529,14529,ZCTA5 14529,47,32,47,32,0,11,24,36,23,16,0,11,0,11,0,11,0,11,0,11,0,11
8600000US14530,14530,ZCTA5 14530,2162,155,1518,157,102,46,555,111,582,108,279,87,644,123,57,45,208,84,248,92,131,76
8600000US14532,14532,ZCTA5 14532,1677,152,1203,133,93,65,353,106,487,119,270,90,474,152,42,33,153,93,200,102,79,45
8600000US14533,14533,ZCTA5 14533,733,112,571,109,39,44,241,101,124,53,167,64,162,77,30,31,72,66,52,46,8,13
8600000US14534,14534,ZCTA5 14534,11997,331,10869,345,66,47,698,151,1603,208,8502,355,1128,170,19,21,208,92,201,79,700,136
8600000US14536,14536,ZCTA5 14536,251,43,201,37,16,11,66,18,87,35,32,19,50,21,2,3,32,19,13,9,3,5
8600000US14537,14537,ZCTA5 14537,55,27,40,27,9,13,0,11,31,28,0,11,15,18,0,11,15,18,0,11,0,11
8600000US14539,14539,ZCTA5 14539,59,24,59,24,0,11,33,20,26,14,0,11,0,11,0,11,0,11,0,11,0,11
8600000US14541,14541,ZCTA5 14541,941,110,704,81,79,37,239,50,207,56,179,38,237,63,31,20,55,26,98,43,53,26
8600000US14542,14542,ZCTA5 14542,20,15,15,14,0,11,6,8,5,8,4,6,5,7,5,7,0,11,0,11,0,11
8600000US14543,14543,ZCTA5 14543,1254,108,1093,89,33,22,213,75,276,83,571,104,161,81,25,38,89,75,19,22,28,28
8600000US14544,14544,ZCTA5 14544,750,78,586,69,49,31,175,48,225,71,137,39,164,68,20,19,80,53,56,28,8,7
8600000US14545,14545,ZCTA5 14545,63,20,63,20,8,11,23,16,16,9,16,10,0,11,0,11,0,11,0,11,0,11
8600000US14546,14546,ZCTA5 14546,1872,156,1289,139,33,19,222,63,474,98,560,117,583,133,61,47,200,97,230,88,92,57
8600000US14548,14548,ZCTA5 14548,1573,164,1342,169,115,63,537,154,394,87,296,78,231,99,14,13,119,85,82,61,16,17
8600000US14549,14549,ZCTA5 14549,23,16,10,11,0,11,0,11,0,11,10,11,13,11,0,11,4,7,9,7,0,11
8600000US14550,14550,ZCTA5 14550,705,74,557,71,44,23,238,57,162,48,113,41,148,34,28,22,68,26,44,18,8,10
8600000US14551,14551,ZCTA5 14551,2012,202,1595,181,213,83,563,110,504,129,315,84,417,99,33,18,215,65,149,66,20,13
8600000US14555,14555,ZCTA5 14555,544,100,463,93,16,12,117,51,214,74,116,32,81,48,3,4,40,36,30,27,8,8
8600000US14559,14559,ZCTA5 14559,6740,252,5255,288,209,72,1141,193,1761,222,2144,246,1485,205,71,55,537,141,546,164,331,117
8600000US14560,14560,ZCTA5 14560,864,87,782,82,67,28,268,66,212,49,235,54,82,35,26,17,20,19,31,25,5,9
8600000US14561,14561,ZCTA5 14561,1126,120,944,120,48,39,273,90,316,74,307,89,182,68,0,11,73,46,55,34,54,36
8600000US14564,14564,ZCTA5 14564,5779,228,4738,277,105,71,729,203,950,191,2954,263,1041,222,19,17,339,189,309,100,374,143
8600000US14568,14568,ZCTA5 14568,2115,117,1994,119,53,43,427,98,726,128,788,143,121,48,7,12,36,35,56,38,22,21
8600000US14569,14569,ZCTA5 14569,2619,170,1606,154,75,47,527,141,674,142,330,94,1013,166,300,141,351,111,315,109,47,41
8600000US14571,14571,ZCTA5 14571,456,97,434,94,51,45,163,69,134,53,86,43,22,23,0,11,0,11,13,18,9,14
8600000US14572,14572,ZCTA5 14572,2151,140,1648,135,140,44,699,113,534,99,275,64,503,110,163,90,145,43,188,72,7,9
8600000US14580,14580,ZCTA5 14580,20939,412,15887,419,576,157,2278,302,4633,371,8400,508,5052,370,337,132,1295,292,1603,245,1817,277
8600000US14585,14585,ZCTA5 14585,60,16,60,16,5,8,33,15,5,8,17,12,0,11,0,11,0,11,0,11,0,11
8600000US14586,14586,ZCTA5 14586,4143,211,2947,179,115,63,471,106,771,146,1590,209,1196,190,59,47,337,142,409,160,391,126
8600000US14588,14588,ZCTA5 14588,64,31,55,36,5,7,32,28,18,19,0,11,9,13,0,11,0,11,0,11,9,13
8600000US14589,14589,ZCTA5 14589,2978,174,2232,166,249,92,627,121,705,130,651,110,746,174,102,60,396,137,184,96,64,55
8600000US14590,14590,ZCTA5 14590,2130,130,1627,111,173,57,719,108,455,79,280,56,503,90,119,54,192,52,135,49,57,33
8600000US14591,14591,ZCTA5 14591,637,57,554,48,25,13,173,29,182,39,174,33,83,28,4,5,37,24,28,12,14,12
8600000US14592,14592,ZCTA5 14592,111,66,72,44,0,11,49,41,12,16,11,17,39,61,0,11,39,61,0,11,0,11
8600000US14604,14604,ZCTA5 14604,1442,216,0,11,0,11,0,11,0,11,0,11,1442,216,244,116,340,147,384,170,474,153
8600000US14605,14605,ZCTA5 14605,4581,240,1017,141,243,62,152,51,383,79,239,98,3564,240,1235,180,1033,148,913,145,383,113
8600000US14606,14606,ZCTA5 14606,11342,341,6219,367,840,201,1878,241,2030,285,1471,207,5123,312,1270,226,1860,257,1407,237,586,139
8600000US14607,14607,ZCTA5 14607,9515,362,1568,182,30,28,79,43,252,90,1207,192,7947,402,382,144,1111,251,2319,298,4135,405
8600000US14608,14608,ZCTA5 14608,5142,250,999,153,72,31,307,113,298,88,322,91,4143,254,1145,200,1189,196,1220,207,589,117
8600000US14609,14609,ZCTA5 14609,17532,417,10748,382,1167,184,2696,284,3164,308,3721,336,6784,413,1437,248,2107,287,2397,340,843,195
8600000US14610,14610,ZCTA5 14610,6908,202,3963,214,93,75,362,123,715,136,2793,202,2945,221,224,104,471,141,849,169,1401,194
8600000US14611,14611,ZCTA5 14611,6686,320,2233,241,316,78,601,153,882,151,434,116,4453,303,1319,190,1501,243,1383,222,250,86
8600000US14612,14612,ZCTA5 14612,15008,369,10770,423,751,205,2406,311,3816,395,3797,330,4238,363,511,148,1470,259,1606,241,651,130
8600000US14613,14613,ZCTA5 14613,4853,264,1711,207,142,56,357,118,656,138,556,118,3142,257,770,186,1093,177,1101,206,178,74
